Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
ana c. lima,ana c. lima,UFPE,70,1,1,1,0,0,0,0,0.003617,1,0
carla silva,carla silva,UFPE,70,1,1,1,0,1,1,0,0.003617,1,1
patrick h. a. belem,patrick h. a. belem,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,2
adriana s. vivacqua,adriana s. vivacqua,UFRJ,37,2,0.8,0.875,0.000133,0.333333,12,4,0.561238,9,3
rafael m. mello,rafael m. mello,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,4
joao p. b. gloria,joao p. b. gloria,"UFRJ / Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",37,3,0.545455,0.666667,0,1,10,0,0.448813,5,5
adriano n. souza,adriano n. souza,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,6
claudio barizon,claudio barizon,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,7
ecivaldo s. matos,ecivaldo s. matos,Universidade de São Paulo (USP),0,1,1,1,0,1,3,0,0.04907,3,8
filipe a. garrido,filipe a. garrido,UFBA,0,1,1,1,0,1,3,0,0.04907,3,9
jean c. s. rosa,jean c. s. rosa,Interactive Technologies Institute (ITI/LARSyS),0,1,1,1,0,1,3,0,0.04907,3,10
beatriz b. rego,beatriz b. rego,UFBA,0,1,1,1,0,1,3,0,0.04907,3,11
tanara lauschner,tanara lauschner,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,12
genildo gomes,genildo gomes,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,13
leandro galvao,leandro galvao,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,14
romualdo costa,romualdo costa,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,15
edward c. souza,edward c. souza,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,16
bruno gadelha,bruno gadelha,UFAM,11,1,1,1,0.000015,0.666667,10,3,0.37179,6,17
huandy c. camargo,huandy c. camargo,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,18
melise m. v. paula,melise m. v. paula,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,19
rafael m. d. frinhani,rafael m. d. frinhani,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,20
barbara p. caetano,barbara p. caetano,UFRJ,23,1,1,1,0,1,10,0,0.341038,5,21
amanda klein,amanda klein,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,22
gabriel c. fornitano,gabriel c. fornitano,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,23
ailton ribeiro,ailton ribeiro,UFBA,62,1,1,1,0.000003,0.809524,17,0,1,7,24
vaninha vieira,vaninha vieira,UFBA,62,1,1,1,0.000003,0.809524,17,0,1,7,25
maria c. pestana,maria c. pestana,UFBA,62,2,0.777778,0.857143,0,1,10,0,0.780648,5,26
thiago m. r. ribeiro,thiago m. r. ribeiro,UNIRIO,1,1,1,1,0,1,1,0,0.015558,2,27
maira g. bayser,maira g. bayser,UNIRIO,1,1,1,1,0,1,1,0,0.015558,2,28
sean w. m. siqueira,sean w. m. siqueira,UNIRIO,1,1,1,1,0,1,1,0,0.015558,2,29
ana m. amorim,ana m. amorim,UFBA,62,1,1,1,0.000003,0.809524,17,0,1,7,30
marcos barreto,marcos barreto,London School of Economics and Political Science (LSE),62,2,0.777778,0.857143,0,1,10,0,0.780648,5,31
murilo g. arouca,murilo g. arouca,UFBA,62,1,1,1,0.000003,0.809524,17,0,1,7,32
isa b. neves,isa b. neves,UFBA,62,2,0.777778,0.857143,0,1,10,0,0.780648,5,33
rodrigo meliande,rodrigo meliande,UFBA,62,2,0.777778,0.857143,0,1,10,0,0.780648,5,34
rafael g. barradas,rafael g. barradas,UNIRIO,37,1,1,1,0,0,0,0,0.003617,1,35
bruna diirr,bruna diirr,UNIRIO,37,1,1,1,0,0.333333,1,0,0.003617,1,36
gustavo martins,gustavo martins,Sidia Instituto de Ciência e Tecnologia,11,1,1,1,0,1,10,0,0.003617,1,37
emiliandro firmino,emiliandro firmino,Sidia Instituto de Ciência e Tecnologia,11,1,1,1,0,0,0,0,0.003617,1,38
matheus ferreira,matheus ferreira,UFAM,11,2,0.545455,0.583333,0,0,0,0,0.074295,1,39
gabriel f. pereira,gabriel f. pereira,UFF,37,3,0.48,0.541667,0,1,1,0,0.137893,2,40
leonardo gargano,leonardo gargano,UFRJ,37,3,0.48,0.541667,0,1,1,0,0.137893,2,41
samara souza,samara souza,UFPA,24,1,1,1,0,1,1,0,0.015558,2,42
cleidson souza,cleidson souza,UFPA,24,1,1,1,0,1,1,0,0.015558,2,43
wendy mendes,wendy mendes,UFPA,24,1,1,1,0,1,1,0,0.015558,2,44
denise r. a. carvalho,denise r. a. carvalho,UFC,2,1,1,1,0,1,6,0,0.134826,4,45
kauan d. b. sousa,kauan d. b. sousa,UFC,2,1,1,1,0,1,6,0,0.134826,4,46
alexandre m. arruda,alexandre m. arruda,UFC,2,1,1,1,0,1,6,0,0.134826,4,47
anna b. marques,anna b. marques,UFC,2,1,1,1,0,1,6,0,0.134826,4,48
marcos g. m. mauricio,marcos g. m. mauricio,UFC,2,1,1,1,0,1,6,0,0.134826,4,49
luciane c. j. deus,luciane c. j. deus,UFRJ,14,2,0.545455,0.583333,0,1,1,0,0.156673,2,50
juliana b. s. franca,juliana b. s. franca,UFRJ,37,2,0.631579,0.708333,0.00008,0.4,4,0,0.21387,5,51
josiney souza,josiney souza,UFPR,3,1,1,1,0,0,0,0,0.003617,1,52
marcos s. sunye,marcos s. sunye,UFPR,3,1,1,1,0,0,0,0,0.003617,1,53
raquel t. paiva,raquel t. paiva,UNIRIO,18,1,1,1,0,1,3,0,0.04907,3,54
wendy s. cataldo,wendy s. cataldo,UNIRIO,18,1,1,1,0,1,3,0,0.04907,3,55
carlos e. mello,carlos e. mello,UNIRIO,18,1,1,1,0,1,3,0,0.04907,3,56
ana c. b. garcia,ana c. b. garcia,UNIRIO,18,1,1,1,0,1,3,0,0.04907,3,57
jacilane h. rabelo,jacilane h. rabelo,UFC,4,1,1,1,0,1,6,0,0.134826,4,58
israely lima,israely lima,UFC,4,1,1,1,0,1,6,0,0.134826,4,59
marina rocha,marina rocha,UFC,4,1,1,1,0,1,6,0,0.134826,4,60
eriky r. goncalves,eriky r. goncalves,UFC,4,1,1,1,0,1,6,0,0.134826,4,61
jorge l. sousa,jorge l. sousa,UFC,4,1,1,1,0,1,6,0,0.134826,4,62
daniel g. costa,daniel g. costa,UP,5,1,1,1,0,1,1,0,0.015558,2,63
joao p. j. peixoto,joao p. j. peixoto,UEFS,5,1,1,1,0,1,1,0,0.015558,2,64
washington j. s. f. rocha,washington j. s. f. rocha,UEFS,5,1,1,1,0,1,1,0,0.015558,2,65
luciana brito,luciana brito,UFRJ,37,3,0.428571,0.527778,0,1,3,0,0.095203,3,66
angelica dias,angelica dias,UFRJ,37,3,0.428571,0.527778,0,1,3,0,0.095203,3,67
adriana vivacqua,adriana vivacqua,UFRJ,37,3,0.428571,0.527778,0,1,3,0,0.095203,3,68
maicon h. l. f. s. barros,maicon h. l. f. s. barros,UPE,6,1,1,1,0,1,3,0,0.04907,3,69
maria e. f. mello,maria e. f. mello,UPE,6,1,1,1,0,1,3,0,0.04907,3,70
hilson g. v. andrade,hilson g. v. andrade,UPE,6,1,1,1,0,1,3,0,0.04907,3,71
patricia t. endo,patricia t. endo,UPE,6,1,1,1,0,1,3,0,0.04907,3,72
isabela gasparini,isabela gasparini,UDESC,21,0,0,0,0,1,3,0,0,0,73
maria t. s. santos,maria t. s. santos,UDESC,21,0,0,0,0,1,3,0,0,0,74
luciana b. frigo,luciana b. frigo,UFSC,21,0,0,0,0,1,3,0,0,0,75
lais p. v. vossen,lais p. v. vossen,UDESC,21,0,0,0,0,1,3,0,0,0,76
jose m. n. david,jose m. n. david,UFJF,13,0,0,0,0,0.666667,4,10,0,0,77
victor stroele,victor stroele,UFJF,13,0,0,0,0,1,3,6,0,0,78
regina braga,regina braga,UFJF,13,0,0,0,0,0.666667,4,9,0,0,79
vitor campos,vitor campos,UFJF,13,0,0,0,0,1,3,0,0,0,80
claudia l. r. motta,claudia l. r. motta,UFRJ,14,0,0,0,0,1,3,0,0,0,81
alexandre f. costa,alexandre f. costa,UFRJ,14,0,0,0,0,1,3,0,0,0,82
cristianna m. ferran,cristianna m. ferran,UFRJ,14,0,0,0,0,1,3,0,0,0,83
walkir a. t. brito,walkir a. t. brito,UFRJ,14,0,0,0,0,1,3,0,0,0,84
eduardo figueiredo,eduardo figueiredo,UFMG,40,0,0,0,0,1,1,0,0,0,85
raquel prates,raquel prates,UFMG,40,0,0,0,0,1,1,0,0,0,86
kattiana constantino,kattiana constantino,UFMG,40,0,0,0,0,1,1,0,0,0,87
alan t. a. silva,alan t. a. silva,UFPA,24,0,0,0,0,1,6,0,0,0,88
luciano a. teran,luciano a. teran,UFPA,24,0,0,0,0,1,6,0,0,0,89
cleidson r. b. souza,cleidson r. b. souza,UFPA,24,0,0,0,0,1,6,0,0,0,90
thayssa a. rocha,thayssa a. rocha,UFPA,24,0,0,0,0,1,6,0,0,0,91
marcelle p. mota,marcelle p. mota,UFPA,24,0,0,0,0,1,6,0,0,0,92
alessandro s. santos,alessandro s. santos,IPT,7,0,0,0,0,1,3,0,0,0,93
claudene o. goncalves,claudene o. goncalves,IPT,7,0,0,0,0,1,3,0,0,0,94
erica vilela,erica vilela,IPT,7,0,0,0,0,1,3,0,0,0,95
airton y. c. toyofuku,airton y. c. toyofuku,IPT,7,0,0,0,0,1,3,0,0,0,96
karen botelho,karen botelho,UFBA,62,0,0,0,0,0,0,0,0,0,97
jessica i. pegorini,jessica i. pegorini,UFPR,8,0,0,0,0,1,3,0,0,0,98
francisco c. m. souza,francisco c. m. souza,UTFPR,8,0,0,0,0,1,3,0,0,0,99
alinne c. c. souza,alinne c. c. souza,UTFPR,8,0,0,0,0,1,3,0,0,0,100
luiz c. p. albini,luiz c. p. albini,UFPR,8,0,0,0,0,1,3,0,0,0,101
carlos e. stefani,carlos e. stefani,Centro Paula Souza (CPS),9,0,0,0,0,0,0,0,0,0,102
marcelo duduchi,marcelo duduchi,Centro Paula Souza (CPS),9,0,0,0,0,0,0,0,0,0,103
tayana conte,tayana conte,UFAM,11,0,0,0,0,0.666667,2,0,0,0,104
paulo ferreira,paulo ferreira,UFAM,11,0,0,0,0,0.666667,2,0,0,0,105
iago meijon,iago meijon,UFBA,62,0,0,0,0,0,0,0,0,0,106
gabriel coelho,gabriel coelho,UFF,37,0,0,0,0,1,6,0,0,0,107
aline paes,aline paes,UFF,37,0,0,0,0,1,6,0,0,0,108
isabel rosseti,isabel rosseti,UFF,37,0,0,0,0,1,6,0,0,0,109
daniel oliveira,daniel oliveira,UFF,37,0,0,0,0,1,6,0,0,0,110
wagner santos,wagner santos,UFF / Secretaria Estadual de Polícia Militar do Rio de Janeiro,37,0,0,0,0,1,6,0,0,0,111
fabiane b. v. benitti,fabiane b. v. benitti,UFSC,21,0,0,0,0,0,0,0,0,0,112
marcio j. mantau,marcio j. mantau,UDESC,21,0,0,0,0,1,1,0,0,0,113
ronney m. castro,ronney m. castro,UFJF,18,0,0,0,0,0,0,0,0,0,114
tadeu m. classe,tadeu m. classe,UNIRIO,18,0,0,0,0,0.333333,2,0,0,0,115
luis santos,luis santos,UFJF,13,0,0,0,0,1,1,0,0,0,116
antonio a. lima,antonio a. lima,UNIRIO / UERJ,18,0,0,0,0,1,6,0,0,0,117
albert r. s. catojo,albert r. s. catojo,UNIRIO,18,0,0,0,0,1,6,0,0,0,118
daniel m. alves,daniel m. alves,UNIRIO,18,0,0,0,0,1,6,0,0,0,119
gabriel b. s. pinto,gabriel b. s. pinto,UNIRIO,18,0,0,0,0,1,6,0,0,0,120
luiz p. carvalho,luiz p. carvalho,UFRJ,37,0,0,0,0,1,6,0,0,0,121
jose a. suzano,jose a. suzano,UFRJ,37,0,0,0,0,1,6,0,0,0,122
jonice oliveira,jonice oliveira,UFRJ,37,0,0,0,0,1,6,4,0,0,123
flavia m. santoro,flavia m. santoro,UERJ,37,0,0,0,0,1,6,0,0,0,312
carlos d. s. cruz,carlos d. s. cruz,UFBA,62,0,0,0,0,0.357143,10,0,0,0,124
joao g. kienen,joao g. kienen,UFAM,11,0,0,0,0,1,10,0,0,0,125
carlos g. araujo,carlos g. araujo,UFAM,11,0,0,0,0,1,10,0,0,0,126
rosiane freitas,rosiane freitas,UFAM,11,0,0,0,0,1,10,0,0,0,127
thais castro,thais castro,UFAM,11,0,0,0,0,1,10,0,0,0,128
leticia machado,leticia machado,SoftDesign,24,0,0,0,0,1,3,0,0,0,129
marcelo g. perin,marcelo g. perin,FGV,24,0,0,0,0,1,3,0,0,0,130
reinaldo cardoso,reinaldo cardoso,UFPA,24,0,0,0,0,1,3,0,0,0,131
andre l. c. pinheiro,andre l. c. pinheiro,UFPA,24,0,0,0,0,0.4,4,0,0,0,132
aline f. a. lima,aline f. a. lima,UFPA,24,0,0,0,0,0.4,4,0,0,0,133
matheus c. agostinho,matheus c. agostinho,UFRPE,12,0,0,0,0,0,0,0,0,0,134
george valenca,george valenca,UFRPE,12,0,0,0,0,0,0,0,0,0,135
federico costa,federico costa,UFBA,62,0,0,0,0,1,10,0,0,0,136
hussein khalil,hussein khalil,SLU,62,0,0,0,0,1,10,0,0,0,137
marcos e. barreto,marcos e. barreto,UFBA / LSE,62,0,0,0,0,1,10,0,0,0,138
isa b. c. neves,isa b. c. neves,UFBA,62,0,0,0,0,1,10,0,0,0,139
flavio e. o. e. silva,flavio e. o. e. silva,UNIFEI,23,0,0,0,0,1,1,0,0,0,140
jonas h. r. paula,jonas h. r. paula,UNIFEI,23,0,0,0,0,1,1,0,0,0,141
karine a. cordova,karine a. cordova,UDESC,21,0,0,0,0,0.666667,2,0,0,0,142
claudia pimentel,claudia pimentel,UDESC,21,0,0,0,0,0.666667,2,0,0,0,143
lucas hanauer,lucas hanauer,PUCRS,11,0,0,0,0,1,3,0,0,0,144
rafael parizi,rafael parizi,PUCRS / IFFAR,11,0,0,0,0,1,3,0,0,0,145
sabrina marczak,sabrina marczak,PUCRS,24,0,0,0,0,1,3,2,0,0,146
luciana a. almeida,luciana a. almeida,IFPA,24,0,0,0,0,0,0,0,0,0,147
carla d. m. berkenbrock,carla d. m. berkenbrock,UDESC,21,0,0,0,0,1,1,3,0,0,148
eric c. silveira,eric c. silveira,UDESC,21,0,0,0,0,1,1,0,0,0,149
jose e. brandao,jose e. brandao,UDESC,21,0,0,0,0,1,1,0,0,0,150
mario a. r. dantas,mario a. r. dantas,UFJF,13,0,0,0,0,1,10,0,0,0,151
regina m. m. braga,regina m. m. braga,UFJF,13,0,0,0,0,1,10,0,0,0,152
marcelo f. moreno,marcelo f. moreno,UFJF,13,0,0,0,0,1,10,0,0,0,153
victor s. a. menezes,victor s. a. menezes,UFJF,13,0,0,0,0,1,10,0,0,0,154
joao p. s. j. costa,joao p. s. j. costa,UFJF,13,0,0,0,0,1,10,0,0,0,155
regina m. braga,regina m. braga,UFJF,13,0,0,0,0,1,10,0,0,0,156
guilherme barbosa,guilherme barbosa,UFJF,13,0,0,0,0,1,10,0,0,0,157
kennya siqueira,kennya siqueira,EMBRAPA,13,0,0,0,0,1,10,0,0,0,158
rian d. alves,rian d. alves,UFJF,13,0,0,0,0,1,10,0,0,0,159
jose m. david,jose m. david,UFJF,13,0,0,0,0,1,10,0,0,0,160
anselmo p. r. costa,anselmo p. r. costa,UFRJ,14,0,0,0,0,1,6,0,0,0,161
daniel schneider,daniel schneider,UFRJ,14,0,0,0,0,1,6,0,0,0,162
erica j. s. scheffel,erica j. s. scheffel,UFRJ,14,0,0,0,0,1,6,0,0,0,163
marcos a. g. xavier,marcos a. g. xavier,UFRJ,14,0,0,0,0,1,6,0,0,0,164
alberto castro,alberto castro,UFAM,11,0,0,0,0,1,1,0,0,0,165
romualdo azevedo,romualdo azevedo,UFAM,11,0,0,0,0,1,1,0,0,0,166
mateus b. machado,mateus b. machado,UFBA,62,0,0,0,0,0.5,3,0,0,0,167
caio v. s. lopes,caio v. s. lopes,UFBA,62,0,0,0,0,0.5,3,0,0,0,168
diego a. s. lisboa,diego a. s. lisboa,UFPA,24,0,0,0,0,0.833333,5,0,0,0,169
leticia s. machado,leticia s. machado,UFPA,24,0,0,0,0,0.833333,5,0,0,0,170
clara m. caldeira,clara m. caldeira,UFPA,24,0,0,0,0,0.833333,5,0,0,0,171
rita s. p. maciel,rita s. p. maciel,UFBA,13,0,0,0,0,1,1,0,0,0,172
edgar delbem,edgar delbem,UFRJ,14,0,0,0,0,1,3,0,0,0,173
carla v. m. marques,carla v. m. marques,UFRJ,14,0,0,0,0,1,3,0,0,0,174
carlo e. t. oliveira,carlo e. t. oliveira,UFRJ,14,0,0,0,0,1,3,0,0,0,175
pamella soares,pamella soares,UECE,15,0,0,0,0,1,10,0,0,0,176
paulo h. m. maia,paulo h. m. maia,UECE,15,0,0,0,0,1,10,0,0,0,177
jerffeson souza,jerffeson souza,UECE,15,0,0,0,0,1,10,0,0,0,178
allyson a. araujo,allyson a. araujo,UFC,15,0,0,0,0,1,10,0,0,0,179
matheus paixao,matheus paixao,UECE,15,0,0,0,0,1,10,0,0,0,180
rommel castro,rommel castro,UECE,15,0,0,0,0,1,10,0,0,0,181
nelson n. t. junior,nelson n. t. junior,Unicesumar,16,0,0,0,0,1,1,0,0,0,182
arthur g. b. c. urpia,arthur g. b. c. urpia,Unicesumar,16,0,0,0,0,1,1,0,0,0,183
amanda c. teixeira,amanda c. teixeira,Unicesumar,16,0,0,0,0,1,1,0,0,0,184
miriam o. santos,miriam o. santos,UNIRIO,18,0,0,0,0,1,1,0,0,0,185
gustavo h. s. alexandre,gustavo h. s. alexandre,Cesar School,17,0,0,0,0,0,0,0,0,0,186
jesiel v. silva,jesiel v. silva,Cesar School / IFPI,17,0,0,0,0,0,0,0,0,0,187
paulo s. m. santos,paulo s. m. santos,UNIRIO,18,0,0,0,0,1,1,0,0,0,188
bruna diir,bruna diir,UNIRIO,18,0,0,0,0,1,1,0,0,0,189
clodis boscarioli,clodis boscarioli,UNIOESTE,19,0,0,0,0,1,10,0,0,0,190
raissa barcellos,raissa barcellos,UFF,19,0,0,0,0,1,10,0,0,0,191
leonardo vasconcelos,leonardo vasconcelos,UFF,19,0,0,0,0,1,10,0,0,0,192
jose viterbo,jose viterbo,UFF,19,0,0,0,0,1,10,0,0,0,193
eunice nunes,eunice nunes,UFMT,19,0,0,0,0,1,10,0,0,0,194
flavia bernardini,flavia bernardini,UFF,19,0,0,0,0,1,10,0,0,0,195
daniel paiva,daniel paiva,UFF,20,0,0,0,0,0,0,0,0,0,196
francisco oliveira,francisco oliveira,UFF,20,0,0,0,0,0,0,0,0,0,197
claudia cappelli,claudia cappelli,UFRJ,44,0,0,0,0,0,0,0,0,0,198
mauro c. pichiliani,mauro c. pichiliani,IBM Research AI,21,0,0,0,0,1,1,0,0,0,199
prasun dewan,prasun dewan,University of North Carolina-Chapel Hill,21,0,0,0,0,1,1,0,0,0,200
celso m. hirata,celso m. hirata,ITA,21,0,0,0,0,1,1,0,0,0,201
livia c. gouvea,livia c. gouvea,UNIRIO,18,0,0,0,0,1,1,0,0,0,202
mariano pimentel,mariano pimentel,UNIRIO,44,0,0,0,0,1,1,1,0,0,489
ricardo d. rodriguez,ricardo d. rodriguez,UNIRIO,44,0,0,0,0,0,0,0,0,0,203
carlos oliveira,carlos oliveira,UNIRIO,18,0,0,0,0,1,1,0,0,0,204
mauro amazonas,mauro amazonas,UFAM,11,0,0,0,0,0.666667,2,0,0,0,205
frederick m. c. v. amstel,frederick m. c. v. amstel,UTFPR,22,0,0,0,0,0,0,0,0,0,206
mateus f. l. pelanda,mateus f. l. pelanda,UTFPR,22,0,0,0,0,0,0,0,0,0,207
jaziel s. lobo,jaziel s. lobo,UFBA,62,0,0,0,0,0,0,0,0,0,208
leandro a. melo,leandro a. melo,UFRN,24,0,0,0,0,1,6,0,0,0,209
fabio f. s. junior,fabio f. s. junior,UFRN,24,0,0,0,0,1,6,0,0,0,210
fernando f. filho,fernando f. filho,UFRN,24,0,0,0,0,1,6,0,0,0,211
tiago h. s. leite,tiago h. s. leite,UFRN,24,0,0,0,0,1,6,0,0,0,212
marcelo fornazin,marcelo fornazin,UFF,37,0,0,0,0,0,0,0,0,0,213
jonatas c. santos,jonatas c. santos,UNIRIO,1,0,0,0,0,0,0,0,0,0,214
vitor q. campos,vitor q. campos,UFJF,13,0,0,0,0,0,0,0,0,0,215
fernando c. d. silva,fernando c. d. silva,UNIRIO,18,0,0,0,0,0,0,0,0,0,216
fabiana barros,fabiana barros,UNIFEI,23,0,0,0,0,1,10,0,0,0,217
mauro s. r. souza,mauro s. r. souza,UNIFEI,23,0,0,0,0,1,10,0,0,0,218
pedro t. m. pedrosa,pedro t. m. pedrosa,UNIFEI,23,0,0,0,0,1,10,0,0,0,219
kayque w. r. oliveira,kayque w. r. oliveira,UNIFEI,23,0,0,0,0,1,10,0,0,0,220
gustavo e. r. g. alves,gustavo e. r. g. alves,UNIFEI,23,0,0,0,0,1,10,0,0,0,221
glivia a. r. barbosa,glivia a. r. barbosa,CEFET-MG,41,0,0,0,0,1,3,5,0,0,222
flavio r. s. coutinho,flavio r. s. coutinho,CEFET-MG,41,0,0,0,0,1,3,5,0,0,223
ismael s. silva,ismael s. silva,CEFET-MG,41,0,0,0,0,1,3,5,0,0,224
arley s. ribeiro,arley s. ribeiro,CEFET-MG,41,0,0,0,0,1,3,0,0,0,225
laino santos,laino santos,EMPREL,70,0,0,0,0,0,0,0,0,0,226
ricardo r. m. melo,ricardo r. m. melo,UFPA,24,0,0,0,0,0,0,0,0,0,227
carlos a. f. gama,carlos a. f. gama,UFRJ,37,0,0,0,0,0,0,0,0,0,228
matheus dore,matheus dore,FIVJ,25,0,0,0,0,1,10,0,0,0,229
camila campos,camila campos,FIVJ,25,0,0,0,0,1,10,0,0,0,230
samuel braz,samuel braz,FIVJ,25,0,0,0,0,1,10,0,0,0,231
iran r. costa,iran r. costa,FIVJ,25,0,0,0,0,1,10,0,0,0,232
tadeu classe,tadeu classe,UNIRIO,25,0,0,0,0,1,10,0,0,0,233
gildo leonel,gildo leonel,FIVJ,25,0,0,0,0,1,10,0,0,0,234
lucas e. r. freitas,lucas e. r. freitas,UDESC,21,0,0,0,0,1,1,0,0,0,235
fabiola s. f. sell,fabiola s. f. sell,UDESC,21,0,0,0,0,1,1,2,0,0,236
vanessa braganholo,vanessa braganholo,UFF,37,0,0,0,0,1,1,0,0,0,237
eduardo jandre,eduardo jandre,UFF,37,0,0,0,0,1,1,0,0,0,238
igor steinmacher,igor steinmacher,UTFPR/NAU,26,0,0,0,0,1,1,2,0,0,239
carolina toscani,carolina toscani,PUCRS,24,0,0,0,0,1,1,2,0,0,240
luis f. m. p. maia,luis f. m. p. maia,UFRJ,37,0,0,0,0,1,6,4,0,0,241
wallace ugulino,wallace ugulino,UFRJ,44,0,0,0,0,1,6,4,0,0,242
marcela m. m. yagui,marcela m. m. yagui,UFRJ,37,0,0,0,0,1,6,4,0,0,243
jaline g. mombach,jaline g. mombach,IFFarroupilha,27,0,0,0,0,1,1,2,0,0,244
wagner s. marques,wagner s. marques,IFFarroupilha,27,0,0,0,0,1,1,2,0,0,245
paulo s. s. souza,paulo s. s. souza,IFFarroupilha,27,0,0,0,0,1,1,2,0,0,246
hedo e. s. junior,hedo e. s. junior,IFSul,28,0,0,0,0,1,1,2,0,0,247
rodrigo r. oliveira,rodrigo r. oliveira,IFSul,28,0,0,0,0,0.333333,2,4,0,0,248
leonardo b. genuino,leonardo b. genuino,IFSul,28,0,0,0,0,1,1,2,0,0,249
carlos m. s. figueiredo,carlos m. s. figueiredo,UEA/Samsung Ocean,35,0,0,0,0,0.833333,5,2,0,0,250
alice a. f. menezes,alice a. f. menezes,UFAM,35,0,0,0,0,0.833333,5,2,0,0,251
arthur o. silva,arthur o. silva,UFSC,28,0,0,0,0,1,1,2,0,0,252
luana l. rodrigues,luana l. rodrigues,IFSUL,28,0,0,0,0,1,1,2,0,0,253
gabriel c. oliveira,gabriel c. oliveira,FURB,21,0,0,0,0,1,10,5,0,0,254
mauro m. mattos,mauro m. mattos,FURB,21,0,0,0,0,1,10,6,0,0,255
nelson hein,nelson hein,FURB,21,0,0,0,0,1,10,5,0,0,256
karina z. cunha,karina z. cunha,FURB,21,0,0,0,0,1,10,5,0,0,257
luciana p. araujo,luciana p. araujo,FURB,21,0,0,0,0,1,10,6,0,0,258
fabricia d. zucco,fabricia d. zucco,FURB,21,0,0,0,0,1,10,5,0,0,259
juarez b. silva,juarez b. silva,UFSC,29,0,0,0,0,1,6,4,0,0,260
joao b. m. alves,joao b. m. alves,UFSC,29,0,0,0,0,1,6,4,0,0,261
hamadou saliah-hassane,hamadou saliah-hassane,TÉLUC,29,0,0,0,0,1,6,4,0,0,262
joao p. c. lima,joao p. c. lima,UFRGS,29,0,0,0,0,1,6,4,0,0,263
jose p. s. simao,jose p. s. simao,UFSC,29,0,0,0,0,1,6,4,0,0,264
eduardo feitosa,eduardo feitosa,UFAM,11,0,0,0,0,1,3,3,0,0,265
jordan queiroz,jordan queiroz,UFAM,11,0,0,0,0,1,3,3,0,0,266
samantha correa,samantha correa,UFAM,11,0,0,0,0,1,3,3,0,0,267
marilia s. mendes,marilia s. mendes,UFC,30,0,0,0,0,1,1,2,0,0,268
elizabeth s. furtado,elizabeth s. furtado,UNIFOR,30,0,0,0,0,1,1,2,0,0,269
denilson c. oliveira,denilson c. oliveira,UNIFOR,30,0,0,0,0,1,1,2,0,0,270
carolina andrade,carolina andrade,CEFET-MG,41,0,0,0,0,0.5,3,4,0,0,271
rafael s. m. ferreira,rafael s. m. ferreira,CEFET-MG,41,0,0,0,0,0.5,3,4,0,0,272
clara a. b. fernandes,clara a. b. fernandes,UNINORTE,31,0,0,0,0,1,3,3,0,0,273
aurea h. s. melo,aurea h. s. melo,UNINORTE/UFAM/EST-UEA,31,0,0,0,0,1,3,3,0,0,274
raimundo s. barreto,raimundo s. barreto,UFAM,31,0,0,0,0,1,3,3,0,0,275
marco s. s. jardim,marco s. s. jardim,UNINORTE,31,0,0,0,0,1,3,3,0,0,276
adilson r. silva,adilson r. silva,UNIRIO,44,0,0,0,0,0,0,1,0,0,277
jair c. leite,jair c. leite,UFRN,32,0,0,0,0,0,0,1,0,0,278
samanta f. aires,samanta f. aires,UFRN,32,0,0,0,0,0,0,1,0,0,279
pedro m. bernardo,pedro m. bernardo,CEFET-MG,41,0,0,0,0,0.5,3,4,0,0,280
evandrino g. barros,evandrino g. barros,CEFET-MG,41,0,0,0,0,0.5,3,4,0,0,281
talita l. menezes,talita l. menezes,UFCG,33,0,0,0,0,1,1,2,0,0,282
nazareno f. andrade,nazareno f. andrade,UFCG,33,0,0,0,0,1,1,2,0,0,283
joanna l. q. marques,joanna l. q. marques,UFCG,33,0,0,0,0,1,1,2,0,0,284
eduardo f. nakamura,eduardo f. nakamura,UFAM,35,0,0,0,0,0.533333,8,9,0,0,285
fabiola g. nakamura,fabiola g. nakamura,UFAM,35,0,0,0,0,0.8,8,7,0,0,286
bruno a. souza,bruno a. souza,UFAM,35,0,0,0,0,0.8,8,7,0,0,287
hildon l. paula,hildon l. paula,UFAM,35,0,0,0,0,1,3,3,0,0,288
geanderson e. santos,geanderson e. santos,UFMG,41,0,0,0,0,0.5,3,1,0,0,289
raquel o. prates,raquel o. prates,UFMG,40,0,0,0,0,0.428571,12,1,0,0,290
