Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
rosimar sobrinho,rosimar sobrinho,Universidade do Estado do Amazonas,11,0,0,0,0,0,0,0,0,0,433
felipe m. muller,felipe m. muller,UFSM,52,0,0,0,0,1,3,0,0,0,434
giliane bernardi,giliane bernardi,UFSM,52,0,0,0,0,1,3,0,0,0,435
andre z. cordenonsi,andre z. cordenonsi,UFSM,52,0,0,0,0,1,3,0,0,0,436
tarcila g. silva,tarcila g. silva,UFSM,52,0,0,0,0,1,3,0,0,0,437
jussara rodrigues,jussara rodrigues,UNIRIO,53,0,0,0,0,1,1,0,0,0,438
helena araujo,helena araujo,UNIRIO,53,0,0,0,0,1,1,0,0,0,439
vania m. f. dias,vania m. f. dias,UNIRIO,53,0,0,0,0,1,1,0,0,0,440
maison melotti,maison melotti,UFES,26,0,0,0,0,1,3,0,0,0,441
victor r. o. nunes,victor r. o. nunes,UFES,26,0,0,0,0,1,3,0,0,0,442
diego o. rodrigues,diego o. rodrigues,Centro Universitário Luterano de Palmas,54,0,0,0,0,1,10,0,0,0,443
jackson g. souza,jackson g. souza,Centro Universitário Luterano de Palmas,54,0,0,0,0,1,10,0,0,0,444
silvio r. l. meira,silvio r. l. meira,UFPE,54,0,0,0,0,1,10,0,0,0,445
edeilson m. silva,edeilson m. silva,Centro Universitário Luterano de Palmas,54,0,0,0,0,1,10,0,0,0,446
parcilene f. brito,parcilene f. brito,Centro Universitário Luterano de Palmas,54,0,0,0,0,1,10,0,0,0,447
ana c. salgado,ana c. salgado,UFPE,54,0,0,0,0,1,10,0,0,0,448
luziane f. mendonca,luziane f. mendonca,UFRJ,37,0,0,0,0,1,1,0,0,0,449
patricia z. lima,patricia z. lima,UFRJ,37,0,0,0,0,1,1,0,0,0,450
edmilson b. rocha,edmilson b. rocha,UNIRIO,44,0,0,0,0,1,1,0,0,0,451
morganna c. diniz,morganna c. diniz,UNIRIO,44,0,0,0,0,1,1,0,0,0,452
antonio neto,antonio neto,IFAM,11,0,0,0,0,0.7,7,0,0,0,453
david lima,david lima,IFAM,11,0,0,0,0,0.7,7,0,0,0,454
lucilene maciel,lucilene maciel,UFAM,11,0,0,0,0,0.7,7,0,0,0,455
guilherme miranda,guilherme miranda,UFF,37,0,0,0,0,1,3,0,0,0,456
joao a. souza,joao a. souza,UFF,37,0,0,0,0,1,3,0,0,0,457
roberto araujo,roberto araujo,UFPA,55,0,0,0,0,1,3,0,0,0,458
felipe l. silva,felipe l. silva,UFPA,55,0,0,0,0,1,3,0,0,0,459
lucas m. silva,lucas m. silva,UFPA,55,0,0,0,0,1,3,0,0,0,460
nelson n. sampaio,nelson n. sampaio,UFPA,55,0,0,0,0,1,3,0,0,0,461
joao p. albuquerque,joao p. albuquerque,USP,56,0,0,0,0,1,3,0,0,0,462
flavio e. a. horita,flavio e. a. horita,USP,56,0,0,0,0,1,3,0,0,0,463
roberto s. rocha,roberto s. rocha,USP,56,0,0,0,0,1,3,0,0,0,464
livia c. degrossi,livia c. degrossi,USP,56,0,0,0,0,1,3,0,0,0,465
marlon f. antonio,marlon f. antonio,UTFPR,26,0,0,0,0,0.333333,1,0,0,0,466
josiane m. pinheiro,josiane m. pinheiro,UTFPR,91,0,0,0,0,0,0,0,0,0,467
cesar a. tacla,cesar a. tacla,UTFPR,91,0,0,0,0,1,1,0,0,0,468
dhanielly lima,dhanielly lima,UFAM,11,0,0,0,0,1,3,0,0,0,469
vitor bremgartner,vitor bremgartner,UFAM,11,0,0,0,0,1,3,0,0,0,470
jose f. netto,jose f. netto,UFAM,11,0,0,0,0,1,3,0,0,0,471
romis attux,romis attux,UNICAMP,57,0,0,0,0,1,1,0,0,0,472
leonardo m. barbosa,leonardo m. barbosa,UNICAMP,57,0,0,0,0,1,1,0,0,0,473
alan godoy,alan godoy,UNICAMP,57,0,0,0,0,1,1,0,0,0,474
bruno s. nascimento,bruno s. nascimento,UFRJ,37,0,0,0,0,1,3,0,0,0,475
rodrigo c. andrade,rodrigo c. andrade,UFRJ,37,0,0,0,0,1,3,0,0,0,476
leila m. antunes,leila m. antunes,UFRJ,37,0,0,0,0,0.666667,2,0,0,0,477
diana c. a. c.,diana c. a. c.,UFRJ,37,0,0,0,0,0.666667,2,0,0,0,478
